,dsnum,taskname
367,ds001946,Functional Localizer
368,ds001971,AudioCueWalkingStudy
369,ds001978,task-dispAtt
370,ds001978,task-motAtt
371,ds001984,task-cont
372,ds001984,task-disp
373,ds001984,task-mot
374,ds002000,rf
375,ds002001,noise
376,ds002001,rivalry
377,ds002006,ColorDots
378,ds002006,FoodChoice
379,ds002006,Memory
380,ds002011,Overlap (Monetary Encoding Incentive) Task
381,ds002011,PPA/LOC functional Localizer
382,ds002013,CircCon
383,ds002013,StimDisc
384,ds002014,"language production task, semantic fluency"
385,ds002033,ChangeDetection
386,ds002034,task-onlinesham
387,ds002034,task-offlinecatch
388,ds002034,task-offline
389,ds002034,task-onlinereal
390,ds002041,TD
391,ds002076,localizer
392,ds002076,go-nogo
393,ds002076,alpha-rem
394,ds002080,rest
395,ds002094,tmseeg2
396,ds002094,tmseeg1
397,ds002094,rest
398,ds002105,a
399,ds002105,b
400,ds002105,rest
401,ds002149,conditional visual associative learning task
402,ds002153,Resting_state
403,ds002156,rest
404,ds002168,MST
405,ds002181,Baseline
406,ds002185,odors
407,ds002218,Experiment
408,ds002236,Auditory Spelling Judgment
409,ds002236,Visual Spelling Judgment
410,ds002236,Auditory Rhyming Judgment
411,ds002236,Visual Semantic Judgment
412,ds002236,Visual Rhyming Judgment
413,ds002236,Auditory Semantic Judgment
414,ds002237,RSVP task
415,ds002237,Category Localizer
416,ds002237,Post-RSVP memory test
417,ds002237,Pre-RSVP memory test
418,ds002241,recognition
419,ds002241,drawing
420,ds002242,STT
421,ds002247,rest
422,ds002247,read task
423,ds002250,tom
424,ds002250,so
425,ds002250,firstthird
426,ds002270,Viewing alternating blocks presenting either ready-to-eat edible objects or pictures of items unrelated to food
427,ds002278,Stranger Things
428,ds002278,"localization task, estimation version"
429,ds002278,"localization task, detection version"
430,ds002294,roletrait
431,ds002295,PRF stimulus
432,ds002295,Detect Fixation changes
433,ds002295,Detect changes in checkerboard rotation direction
434,ds002306,test
435,ds002306,training
436,ds002307,rest
437,ds002311,Post-MOT memory test
438,ds002311,Category Localizer
439,ds002311,Pre-MOT memory test
440,ds002311,MOT task
441,ds002316,Beast
442,ds002316,reward
443,ds002316,rest
444,ds002320,circles
445,ds002336,fmriNF
446,ds002336,MIpost
447,ds002336,MIpre
448,ds002336,eegfmriNF
449,ds002336,motorloc
450,ds002336,eegNF
451,ds002338,2dNF
452,ds002338,1dNF_run-01
453,ds002338,MIpost
454,ds002338,2dNF_run-02
455,ds002338,MIpre
456,ds002338,1dNF
457,ds002363,RSE1
458,ds002366,Emoreg Run1
459,ds002366,Emoreg Run4
460,ds002366,Emoreg Run2
461,ds002366,Emoreg Run3
462,ds002382,LISTEN01
463,ds002382,LISTEN02
464,ds002382,REPEAT02
465,ds002382,REPEAT01
466,ds002411,ProgramCategorization
467,ds002419,task-taste1
468,ds002419,task-taste2
469,ds002422,arithm_run-02
470,ds002422,rest
471,ds002422,arithm_run-01
472,ds002424,"VisuoSpatial Working Memory, Small Reward, Immediate Feedback"
473,ds002424,"Verbal Working Memory, Large Reward, Immediate Feedback"
474,ds002424,"Verbal Working Memory, Small Reward, Delayed Feedback"
475,ds002424,"VisuoSpatial Working Memory, Large Reward, Delayed Feedback"
476,ds002424,"VisuoSpatial Working Memory, Large Reward, Immediate Feedback"
477,ds002424,"Verbal Working Memory, Large Reward, Delayed Feedback"
478,ds002424,"Verbal Working Memory, Small Reward, Immediate Feedback"
479,ds002424,"VisuoSpatial Working Memory, Small Reward, Delayed Feedback"
480,ds002513,cueexposure
481,ds002522,CRF
482,ds002543,Stopsignal
483,ds002543,RLlearningphase
484,ds002543,ppaffalomapper
485,ds002543,RLtestphase
486,ds002547,other
487,ds002547,self
488,ds002549,maze
489,ds002549,rest
490,ds002551,rest
491,ds002574,prf
492,ds002578,attention
493,ds002596,d1-decoder_construction
494,ds002596,d2-adaptive_tcontrol
495,ds002598,AVLearn
496,ds002602,rest
497,ds002602,read task
498,ds002608,resting-state
499,ds002609,resting-state
500,ds002614,task-rest
501,ds002634,Factorial
502,ds002634,ArtVoc
503,ds002647,Auditory Oddball Task
504,ds002647,Isometric Handgrip (IHG) Task
505,ds002655,TemporalMST
506,ds002672,locLREye
507,ds002674,rest
508,ds002680,gonogo
509,ds002685,movie watching task
510,ds002685,HCP social
511,ds002685,archi standard
512,ds002685,HCP motor
513,ds002685,HCP relational
514,ds002685,RSVP language
515,ds002685,HCP langage
516,ds002685,Movie Watching task
517,ds002685,archi spatial
518,ds002685,auditory scene perception 
519,ds002685,HCP gambling
520,ds002685,film viewing
521,ds002685,clips watching
522,ds002685,archi social
523,ds002685,Fictitious event ordering
524,ds002685,archi emotional
525,ds002685,retinotopy
526,ds002685,HCP WM
527,ds002685,self
528,ds002685,rest eyes open
529,ds002685,HCP emotion
530,ds002687,"VisuoSpatial Working Memory, Small Reward, Immediate Feedback"
531,ds002687,"Verbal Working Memory, Large Reward, Immediate Feedback"
532,ds002687,"Verbal Working Memory, Small Reward, Delayed Feedback"
533,ds002687,"VisuoSpatial Working Memory, Large Reward, Delayed Feedback"
